Item Number,Brand,Processor,Screen Size (in),Color,Ram Size (GB),SSD Capacity (GB),GPU,Processor Speed (GHz),Type,Resolution Size,Maximum Resolution,Model,OS,Hard Drive Capacity (GB),Storage Type,Condition,Price ($)
85264981621,Lenovo,Intel Core i7,14.0,Black,24.0,1000.0,Intel UHD Graphics 620,1.8,Thinkpad,Medium,1920 x 1080,Lenovo ThinkPad T480s,Windows 11 Pro,1000,SSD,Excellent,399.99
85264982124,Dell,Intel Core i5,15.6,Black,16.0,1000.0,Intel UHD Graphics,2.4,Notebook/Laptop,Medium,1920 x 1080,Dell Inspiron 15 3520,Windows 11 Home,1000,SSD,New,599.0
85264982131,Lenovo,Intel Core i7,14.1,Purple,16.0,256.0,NVIDIA GEFORCE GT 730M,2.9,Notebook,Small,1600 x 900,ThinkPad T460p,Windows 10 Pro,0,SSD,Used,187.77
85264982133,HP,Intel Core i7,17.3,Silver,64.0,512.0,NVIDIA Quadro P3200,2.6,Notebook/Laptop,Medium,1920 x 1080,HP Zbook 17 G5,Windows 10 Pro,512,SSD,Used,524.95
85264982145,HP,Intel Core i7,16.1,Black,16.0,1000.0,NVIDIA GeForce RTX 4060,2.4,Notebook/Laptop,Medium,1920 x 1080,HP Victus,Windows 11 Home,1000,SSD,New,1149.49
85264983019,Lenovo,Intel Core i5,14.0,Black,8.0,512.0,Intel HD Graphics,2.4,Notebook/Laptop,Medium,1920 x 1080,Lenovo ThinkPad T460,Windows 10 Pro,512,SSD,Used,200.0
85264983114,Samsung,Intel Celeron,11.6,Black,4.0,16.0,Intel HD Graphics,2.5,Notebook/Laptop,Small,1366 x 768,Samsung Chromebook 3,Chrome OS,16,SSD,Used,47.0
85264983116,Lenovo,Intel Core i5,15.6,Black,4.0,0.0,Intel HD Graphics,2.5,Notebook/Laptop,Small,1024 x 768,E540,Windows 7 Pro,500,HDD,Used,99.99
85264983125,Dell,Intel Core i7,14.0,Black,32.0,512.0,Intel UHD Graphics 620,1.9,Notebook/Laptop,Medium,1920 x 1080,Dell Latitude 7400,Windows 11 Pro,512,SSD,Excellent,334.99
85264983128,HP,Intel Celeron,14.0,Gray,4.0,16.0,Intel HD Graphics 5000,2.4,Chromebook,Small,1366 x 768,Chromebook 14 G5,Chrome OS,1,eMMC,Used,49.0
85264983133,Lenovo,AMD Ryzen 5,14.0,Black,16.0,256.0,AMD Radeon Graphics,2.3,Notebook/Laptop,Medium,1920 x 1080,Lenovo ThinkPad T14,Windows 10 Pro,256,SSD,New,499.99
85264983136,Acer,Intel Core i7,13.5,Gray,16.0,128.0,Intel UHD Graphics 620,1.8,Notebook/Laptop,Large,2256 x 1504,Acer Chromebook Spin 713,Chrome OS,16,SSD,Used,229.99
